Wall time,Step,Value
1654071822.3277652,199,-9895.578125
1654071822.371992,249,-9964.9580078125
1654071822.60214,549,-10423.587890625
1654071822.7414403,749,-10005.306640625
1654071822.7873259,799,-10095.3046875
1654071822.900611,949,-9590.9951171875
1654071822.9922583,999,-10182.693359375
1654071823.1835165,1049,-9840.486328125
1654071823.574902,1149,-9778.6865234375
1654071823.7599382,1199,-9716.1494140625
1654071824.488833,1349,-10044.18359375
1654071824.727172,1399,-10198.892578125
1654071827.2340539,1949,-10301.0244140625
1654071827.6077497,2049,-9669.0283203125
1654071829.0097308,2399,-9917.029296875
1654071829.2435606,2449,-10082.6123046875
1654071829.4368556,2499,-9896.03125
1654071829.8629425,2599,-9821.5478515625
1654071830.4602597,2749,-10075.3095703125
1654071831.0104916,2899,-10331.9267578125
1654071831.5676584,3049,-10209.2705078125
1654071831.7799156,3099,-10260.8955078125
1654071832.0070438,3149,-9387.4169921875
1654071832.2295656,3199,-9437.1015625
1654071832.6522667,3299,-9832.4326171875
1654071832.8493247,3349,-9860.3837890625
1654071833.0364113,3399,-9875.55859375
1654071833.2290206,3449,-10140.544921875
1654071833.637315,3549,-9884.0478515625
1654071833.840898,3599,-9548.6513671875
1654071835.006155,3899,-9490.169921875
1654071835.3822002,3999,-10254.8115234375
1654071835.9428058,4149,-10188.947265625
1654071836.5065477,4299,-9797.90234375
1654071837.2742088,4499,-9969.533203125
1654071839.2206042,4999,-9500.3427734375
1654071839.978248,5199,-9929.9013671875
1654071840.562646,5349,-10106.7509765625
1654071840.7484896,5399,-9850.0478515625
1654071841.1459262,5499,-10125.0498046875
1654071842.45078,5849,-9919.1240234375
1654071843.4133344,6099,-10529.771484375
1654071844.180189,6299,-10067.6953125
1654071844.3671765,6349,-10079.2490234375
1654071844.755376,6449,-10040.3408203125
1654071845.1388211,6549,-10109.16796875
1654071846.2813811,6849,-10332.5908203125
1654071846.4709356,6899,-10037.0849609375
1654071847.8187423,7249,-9781.228515625
1654071848.19746,7349,-9382.134765625
1654071848.4054685,7399,-9765.28125
1654071848.980756,7549,-9646.876953125
1654071850.323666,7899,-9569.3134765625
1654071850.8946621,8049,-9445.2685546875
1654071851.2733455,8149,-9682.8291015625
1654071851.6553016,8249,-9324.7822265625
1654071852.802214,8549,-10092.4189453125
1654071852.9947846,8599,-9668.6552734375
1654071853.180288,8649,-9937.017578125
1654071854.1505911,8899,-9564.0224609375
1654071854.9270384,9099,-9997.71875
1654071855.5114877,9249,-10229.0283203125
1654071855.7034469,9299,-9938.5419921875
1654071855.8937917,9349,-9844.484375
1654071856.6636462,9549,-9973.861328125
1654071856.8617997,9599,-10341.4697265625
1654071857.0494025,9649,-10194.431640625
1654071858.402465,9999,-9061.177734375
1654071858.9919827,10149,-9523.59375
1654071859.182687,10199,-9847.1533203125
1654071859.3726802,10249,-9602.94921875
1654071859.574115,10299,-10036.791015625
1654071859.975401,10399,-9272.5517578125
1654071860.75542,10599,-9755.8837890625
1654071861.1360242,10699,-9692.455078125
1654071861.5358424,10799,-9339.11328125
1654071862.3496106,10999,-9988.5712890625
1654071862.5435848,11049,-9435.8623046875
1654071862.7323995,11099,-9946.5302734375
1654071863.3047764,11249,-10295.1435546875
1654071864.2770784,11499,-9723.388671875
1654071866.2236698,11999,-10100.8828125
1654071866.6108618,12099,-9507.220703125
1654071867.2019007,12249,-10445.7646484375
1654071867.4026494,12299,-9695.0263671875
1654071867.5939498,12349,-9644.5029296875
1654071869.1634653,12749,-9854.5390625
1654071869.9566958,12949,-9832.455078125
1654071870.1452472,12999,-10342.9658203125
1654071870.3494177,13049,-10066.037109375
1654071872.4989767,13599,-9839.0986328125
1654071873.084205,13749,-9796.4599609375
1654071873.4827092,13849,-9602.740234375
1654071873.867855,13949,-9390.5751953125
1654071874.2490427,14049,-9049.203125
1654071874.6406846,14149,-9994.490234375
1654071875.2197046,14299,-10151.7509765625
1654071875.8063188,14449,-9603.7705078125
1654071876.1790621,14549,-10119.4189453125
1654071877.164256,14799,-9590.0458984375
1654071877.5610075,14899,-10398.744140625
1654071877.7508936,14949,-9879.130859375
1654071879.2890265,15349,-9991.4921875
1654071879.690911,15449,-9599.46484375
1654071880.47427,15649,-10100.2880859375
1654071881.2514756,15849,-9318.66796875
1654071881.6322436,15949,-9750.7578125
1654071881.8249836,15999,-9525.6494140625
1654071882.4171305,16149,-10048.57421875
1654071885.3247833,16899,-10050.751953125
1654071885.5241244,16949,-9879.126953125
1654071886.4772427,17199,-9591.3779296875
1654071886.8786986,17299,-10083.2529296875
1654071887.074344,17349,-9951.6357421875
1654071888.2328844,17649,-9832.181640625
1654071888.6280534,17749,-9480.1748046875
1654071889.5250435,17949,-9615.6181640625
1654071890.3081949,18149,-9955.763671875
1654071890.4994733,18199,-9060.76953125
1654071890.6939065,18249,-10148.7138671875
1654071890.9025736,18299,-9496.0419921875
1654071891.0953293,18349,-9483.8544921875
1654071891.2849026,18399,-9311.126953125
1654071893.4882395,18949,-9352.451171875
1654071895.0561192,19349,-9863.6416015625
1654071895.8465846,19549,-9111.0771484375
1654071896.2358181,19649,-10046.265625
1654071896.6420598,19749,-9931.625
1654071897.2393577,19899,-9763.625
1654071898.24663,20149,-9998.6875
1654071898.6379178,20249,-9681.810546875
1654071899.6239858,20499,-9430.53515625
1654071900.4236736,20699,-9609.4599609375
1654071900.6115458,20749,-9446.2568359375
1654071900.7993689,20799,-9942.822265625
1654071901.9623377,21099,-10294.1904296875
1654071902.1565511,21149,-9377.0966796875
1654071902.7535372,21299,-9856.1904296875
1654071902.9532132,21349,-9515.5029296875
1654071903.7308354,21549,-9460.958984375
1654071904.7273781,21799,-9534.1259765625
1654071904.9264169,21849,-10031.4228515625
1654071905.1257992,21899,-9525.607421875
1654071905.5132303,21999,-10285.2509765625
1654071905.9083667,22099,-9813.7177734375
1654071906.2947087,22199,-10118.123046875
1654071906.494625,22249,-9934.564453125
1654071906.8886776,22349,-10004.166015625
1654071907.684004,22549,-10107.0537109375
1654071908.0905848,22649,-10326.095703125
1654071908.8820796,22849,-10162.14453125
1654071909.66772,23049,-9265.9287109375
1654071909.8664696,23099,-9637.591796875
1654071910.6458719,23299,-9075.203125
1654071910.8566878,23349,-10043.2470703125
1654071911.2565951,23449,-9448.5703125
1654071911.6550198,23549,-10031.0654296875
1654071912.4585497,23749,-9789.24609375
1654071912.6554904,23799,-9481.810546875
1654071913.6503334,24049,-9632.791015625
1654071913.8506796,24099,-9450.419921875
1654071914.4332342,24249,-9606.3232421875
1654071915.0230072,24399,-10184.0244140625
1654071915.2151458,24449,-9505.326171875
1654071915.4210317,24499,-9869.9560546875
1654071915.803516,24599,-9976.193359375
1654071916.3860164,24749,-10060.0283203125
1654071917.1714284,24949,-9741.1572265625
1654071917.9612026,25149,-10094.58984375
1654071918.1621923,25199,-10157.7705078125
1654071919.328715,25499,-9715.8369140625
1654071919.5268495,25549,-9266.9697265625
1654071919.7123582,25599,-9954.306640625
1654071919.9135292,25649,-9164.7822265625
1654071920.109077,25699,-9514.4306640625
1654071920.3006506,25749,-9604.537109375
1654071920.8927581,25899,-9915.0048828125
1654071921.0811646,25949,-9773.392578125
1654071921.2841804,25999,-9884.2919921875
1654071924.1161206,26699,-9524.12890625
1654071924.3080878,26749,-9097.185546875
1654071924.705169,26849,-9348.1455078125
1654071924.9131787,26899,-9443.470703125
1654071925.1122477,26949,-10076.169921875
1654071925.505321,27049,-9785.2109375
1654071925.9004853,27149,-9084.32421875
1654071926.2948744,27249,-9365.9892578125
1654071926.6827264,27349,-9461.6767578125
1654071926.8762279,27399,-9824.974609375
1654071927.4606156,27549,-9442.1904296875
1654071927.8495789,27649,-9341.626953125
1654071928.4517415,27799,-9986.4365234375
1654071928.6477501,27849,-10208.087890625
1654071929.851155,28149,-10163.873046875
1654071930.0450406,28199,-9777.44140625
