Wall time,Step,Value
1654011666.684713,9399,-8980.482421875
1654011667.1573246,9499,-9740.056640625
1654011667.6219587,9599,-8924.4345703125
1654011668.0984526,9699,-9160.166015625
1654011668.5755138,9799,-9337.8408203125
1654011669.0288155,9899,-9205.013671875
1654011669.4766078,9999,-9121.60546875
1654011669.912353,10099,-9062.5673828125
1654011670.3393536,10199,-8803.18359375
1654011670.7475874,10299,-8939.3330078125
1654011671.1373832,10399,-8860.126953125
1654011671.5377612,10499,-9260.2294921875
1654011672.0446022,10599,-9190.00390625
1654011672.475084,10699,-8929.9638671875
1654011672.8914578,10799,-9144.90625
1654011673.2832894,10899,-9301.599609375
1654011673.693192,10999,-9376.4375
1654011674.0999427,11099,-9284.0673828125
1654011674.482733,11199,-8798.9306640625
1654011674.8875816,11299,-9340.58203125
1654011675.3083026,11399,-9311.0546875
1654011675.718264,11499,-9217.9072265625
1654011676.1128447,11599,-9100.2763671875
1654011676.5117846,11699,-9069.82421875
1654011676.9157064,11799,-9209.044921875
1654011677.3159766,11899,-9022.943359375
1654011677.7087114,11999,-9358.10546875
1654011678.0981386,12099,-9726.103515625
1654011678.5032187,12199,-9247.560546875
1654011678.9473479,12299,-9310.8876953125
1654011679.4048479,12399,-8934.896484375
1654011679.8547063,12499,-9118.490234375
1654011680.3242903,12599,-8865.9091796875
1654011680.7364655,12699,-9144.8583984375
1654011681.198071,12799,-8941.734375
1654011681.6112897,12899,-9080.689453125
1654011682.024114,12999,-9279.7265625
1654011682.4571338,13099,-9166.9697265625
1654011682.8855767,13199,-8964.2109375
1654011683.31888,13299,-8832.59375
1654011683.7044547,13399,-9231.2509765625
1654011684.1208932,13499,-9246.177734375
1654011684.523123,13599,-9288.1181640625
1654011684.9136457,13699,-9261.3642578125
1654011685.361188,13799,-9056.798828125
1654011685.8107579,13899,-9416.1552734375
1654011686.2553766,13999,-8924.46875
1654011686.7150323,14099,-9106.25390625
1654011687.1911263,14199,-9443.0400390625
1654011687.673874,14299,-9313.291015625
1654011688.14414,14399,-9087.8544921875
1654011688.6118636,14499,-8988.6728515625
1654011689.0580218,14599,-9272.2978515625
1654011689.5176451,14699,-9033.0205078125
1654011690.0180264,14799,-9665.78125
1654011690.4948266,14899,-9588.2509765625
1654011690.972846,14999,-9213.927734375
1654011691.420245,15099,-9157.158203125
1654011691.8736756,15199,-9701.0224609375
1654011692.3688772,15299,-9135.3486328125
