Wall time,Step,Value
1653999470.6070273,49,-9900.1455078125
1653999471.0432787,99,-9804.1240234375
1653999471.4385657,149,-9810.3212890625
1653999471.8461983,199,-9926.3447265625
1653999472.2510047,249,-9958.7314453125
1653999472.6771064,299,-9891.2626953125
1653999473.0740516,349,-9927.2763671875
1653999473.4669554,399,-9908.1640625
1653999473.8414183,449,-9850.8583984375
1653999474.2446215,499,-9945.6298828125
1653999474.6900542,549,-9910.896484375
1653999475.0976837,599,-9882.568359375
1653999475.5212278,649,-9915.4560546875
1653999475.9412735,699,-9860.900390625
1653999476.3369782,749,-9919.9296875
1653999476.7754877,799,-9931.10546875
1653999477.1751153,849,-9857.7265625
1653999477.5878782,899,-9882.3408203125
1653999478.0049202,949,-9875.7421875
1653999478.3999777,999,-9872.5673828125
1653999478.8359668,1049,-9801.8818359375
1653999479.2764113,1099,-9889.244140625
1653999479.717866,1149,-9791.7265625
1653999480.143001,1199,-9887.833984375
1653999480.569699,1249,-9891.228515625
1653999480.9833915,1299,-9872.923828125
1653999481.412857,1349,-9843.818359375
1653999481.810547,1399,-9932.52734375
1653999482.2402022,1449,-9873.748046875
1653999482.6423852,1499,-9792.708984375
1653999483.1331139,1549,-9843.1552734375
1653999483.9238527,1599,-9856.779296875
1653999484.444761,1649,-9853.4384765625
1653999484.8857012,1699,-9890.091796875
1653999485.2813015,1749,-9891.787109375
1653999485.7282546,1799,-9851.890625
1653999486.2983074,1849,-9855.5087890625
1653999487.0401566,1899,-9793.6572265625
1653999487.5045204,1949,-9807.3203125
1653999487.9730842,1999,-9799.068359375
1653999488.4469469,2049,-9812.8876953125
1653999488.895429,2099,-9801.4541015625
1653999489.3195472,2149,-9843.6591796875
1653999489.706906,2199,-9801.8408203125
1653999490.124354,2249,-9831.56640625
1653999490.6052158,2299,-9842.62890625
1653999490.9885867,2349,-9782.9755859375
1653999491.3976328,2399,-9714.548828125
1653999491.799271,2449,-9792.6923828125
1653999492.1697757,2499,-9773.9599609375
1653999492.5345275,2549,-9793.24609375
1653999492.889634,2599,-9773.947265625
1653999493.270788,2649,-9794.7373046875
1653999493.6446638,2699,-9868.2373046875
1653999493.9746158,2749,-9801.2724609375
