Wall time,Step,Value
1654067556.803678,35549,-10079.2666015625
1654067557.6559594,35799,-9521.4501953125
1654067557.9890888,35899,-10341.0869140625
1654067558.4741547,36049,-9033.947265625
1654067558.6362042,36099,-9254.6787109375
1654067558.957259,36199,-9944.7216796875
1654067559.281766,36299,-9458.2099609375
1654067559.4514065,36349,-9875.22265625
1654067559.7720957,36449,-9484.1689453125
1654067559.9448764,36499,-9878.248046875
1654067560.2840676,36599,-9646.76171875
1654067560.4484336,36649,-9954.8017578125
1654067560.6082773,36699,-9398.013671875
1654067561.419204,36949,-9904.501953125
1654067562.0709102,37149,-10117.984375
1654067562.4863942,37249,-9163.765625
1654067564.7430925,37849,-9410.7470703125
1654067565.1356177,37949,-9632.48046875
1654067566.1241539,38249,-9250.4130859375
1654067566.279778,38299,-10175.9296875
1654067566.8694642,38449,-9210.615234375
1654067567.0271637,38499,-9495.3408203125
1654067567.5994558,38649,-9837.732421875
1654067568.1891878,38799,-9819.849609375
1654067568.3544366,38849,-10159.15625
1654067568.6775396,38949,-9659.185546875
1654067568.926571,38999,-9781.03515625
1654067569.0888236,39049,-8989.3837890625
1654067569.2597983,39099,-9834.3056640625
1654067569.4450026,39149,-8910.5830078125
1654067570.599262,39449,-9702.2998046875
1654067571.0959184,39599,-9022.236328125
1654067573.5261054,40249,-9428.8427734375
1654067573.6937568,40299,-9107.8017578125
1654067573.8451447,40349,-9611.7216796875
1654067574.003891,40399,-9449.654296875
1654067574.6431875,40549,-9206.248046875
1654067575.914082,40949,-8920.8564453125
1654067576.0804322,40999,-10138.3388671875
1654067577.3567045,41399,-9101.64453125
1654067577.5137236,41449,-9114.1298828125
1654067578.1485505,41649,-9722.447265625
1654067578.3129516,41699,-9467.86328125
1654067578.644105,41799,-9489.61328125
1654067578.8095787,41849,-9884.87109375
1654067579.2914143,41999,-9867.4765625
1654067579.4534843,42049,-9812.1044921875
1654067579.9308417,42199,-9549.986328125
1654067580.2739232,42299,-9270.583984375
1654067581.129026,42549,-9090.51171875
1654067581.2860546,42599,-9517.9462890625
1654067581.7817395,42749,-9224.1201171875
1654067582.2659755,42899,-9169.5537109375
1654067582.761205,43049,-9822.658203125
1654067583.095726,43149,-9205.9765625
1654067583.5711179,43299,-9454.1728515625
1654067583.7251368,43349,-9447.37109375
1654067584.3643827,43549,-10422.9697265625
1654067584.5262878,43599,-9041.947265625
1654067586.7763038,44249,-9319.19921875
1654067587.1468184,44349,-9586.1767578125
1654067587.8438265,44549,-9424.681640625
1654067588.1838655,44649,-9569.490234375
1654067588.6702557,44799,-10105.626953125
1654067589.0505357,44899,-9915.578125
1654067589.2360587,44949,-9460.91015625
1654067589.7404354,45099,-9779.833984375
1654067589.8943205,45149,-9298.8876953125
1654067590.707223,45399,-9272.6923828125
1654067590.872986,45449,-9459.1923828125
1654067591.2186491,45549,-9814.119140625
1654067591.379666,45599,-9184.4443359375
1654067591.9088686,45749,-9347.2861328125
1654067592.5480964,45949,-8944.9013671875
1654067592.710026,45999,-9672.2763671875
1654067593.026236,46099,-9578.2763671875
1654067594.1441946,46449,-8970.337890625
1654067594.4976673,46549,-9108.1044921875
1654067594.6803143,46599,-9409.6474609375
1654067594.8423054,46649,-10074.7109375
1654067596.0734963,46999,-9032.8720703125
1654067596.6132112,47149,-8986.453125
1654067597.0939484,47299,-9088.4736328125
1654067597.7892525,47499,-9420.349609375
1654067598.3517199,47649,-9432.4365234375
1654067598.8842044,47799,-9135.0595703125
1654067599.7065115,48049,-9600.4111328125
1654067600.308943,48199,-9113.9287109375
1654067600.638235,48299,-8994.232421875
1654067600.9591281,48399,-9061.0126953125
1654067601.1188974,48449,-9030.4560546875
1654067602.9558535,48949,-9640.2080078125
1654067603.1132553,48999,-8956.2255859375
1654067603.625479,49149,-9756.4521484375
1654067604.285868,49349,-9735.98046875
1654067604.9357212,49549,-9951.736328125
1654067605.2632358,49649,-9200.4951171875
1654067605.5762706,49749,-9316.591796875
1654067605.8858025,49849,-9775.3212890625
1654067606.2121828,49949,-8992.712890625
1654067606.369779,49999,-9216.806640625
1654067606.8463378,50149,-9041.3408203125
1654067607.0111501,50199,-9441.8857421875
1654067607.1659346,50249,-9606.52734375
1654067607.4862123,50349,-9090.6953125
1654067608.3812542,50599,-9398.76171875
1654067608.7440095,50699,-9313.0390625
1654067609.1248589,50799,-9140.3056640625
1654067610.4225564,51149,-9261.212890625
1654067611.1233833,51349,-9905.181640625
1654067611.4442117,51449,-9188.4541015625
1654067612.7682273,51799,-9104.0263671875
1654067612.9262612,51849,-9180.9345703125
1654067613.085663,51899,-8973.9091796875
1654067613.243009,51949,-9451.2421875
1654067613.4081585,51999,-9706.4287109375
1654067614.0538628,52199,-9540.521484375
1654067614.6221693,52349,-9252.1240234375
1654067616.325616,52849,-9646.56640625
1654067616.7010634,52949,-9739.43359375
1654067617.0500982,53049,-9235.552734375
1654067617.4223268,53149,-9868.470703125
1654067617.967498,53299,-9172.68359375
1654067618.327664,53399,-8919.8955078125
1654067618.6476414,53499,-9109.990234375
1654067618.8252907,53549,-9084.525390625
1654067619.0402687,53599,-9424.109375
1654067619.2043855,53649,-9151.7080078125
1654067619.3747685,53699,-9269.783203125
1654067619.5526001,53749,-8911.419921875
1654067620.0877473,53899,-9159.138671875
1654067620.5723326,54049,-9182.333984375
1654067621.4016552,54299,-9482.625
1654067621.5819201,54349,-9811.021484375
1654067621.747082,54399,-9895.267578125
1654067622.3999298,54599,-9495.3603515625
1654067623.5779543,54949,-9165.3564453125
1654067623.906331,55049,-9347.40625
1654067624.24811,55149,-8932.0478515625
1654067624.421905,55199,-9409.458984375
