Wall time,Step,Value
1654086553.3925238,49,-17484.259765625
1654086553.4812396,199,-9871.1005859375
1654086553.506255,249,-15000.0
1654086553.673388,549,-18816.263671875
1654086553.7086406,599,-15000.0
1654086553.8006623,749,-9774.888671875
1654086553.8282726,799,-16258.4912109375
1654086553.9041572,949,-9950.9228515625
1654086553.932408,999,-15000.0
1654086553.9663906,1049,-15000.0
1654086554.0350132,1149,-16272.87109375
1654086554.0846775,1199,-15000.0
1654086554.1836004,1349,-15000.0
1654086554.212665,1399,-18807.130859375
1654086555.68508,1699,-17454.94140625
1654086556.6895692,1849,-22942.013671875
1654086557.0202756,1899,-9980.908203125
1654086557.349127,1949,-15000.0
1654086557.6857748,1999,-16283.1025390625
1654086558.029144,2049,-15000.0
1654086560.6363149,2399,-10057.625
1654086560.959147,2449,-18740.541015625
1654086561.2843065,2499,-16250.943359375
1654086561.9340205,2599,-15000.0
1654086562.2594593,2649,-10050.0087890625
1654086563.0253677,2749,-15000.0
1654086564.1682746,2899,-16239.6259765625
1654086565.1728497,3049,-15000.0
1654086565.5004165,3099,-15000.0
1654086565.8272614,3149,-10049.8115234375
1654086566.153762,3199,-9606.888671875
1654086566.7915313,3299,-22372.833984375
1654086567.1168787,3349,-9666.8359375
1654086567.4302409,3399,-9952.9931640625
1654086567.7593613,3449,-15000.0
1654086568.4162898,3549,-22274.7890625
1654086568.73286,3599,-15000.0
1654086570.7372243,3899,-9881.8544921875
1654086571.3846788,3999,-18708.287109375
1654086571.721498,4049,-9620.271484375
1654086572.3894265,4149,-9734.2294921875
1654086572.7182295,4199,-9845.58984375
1654086573.3674731,4299,-16250.890625
1654086574.6828732,4499,-15000.0
1654086575.0048487,4549,-15000.0
1654086576.6129386,4799,-10044.0830078125
1654086577.921976,4999,-9497.76171875
1654086578.2387602,5049,-15000.0
1654086579.213213,5199,-15000.0
1654086580.2089493,5349,-9931.6640625
1654086580.5320766,5399,-9893.11328125
1654086581.1895463,5499,-15000.0
1654086582.8355114,5749,-18797.8125
1654086583.4946861,5849,-9643.9853515625
