Wall time,Step,Value
1654083313.8968942,199,-10231.9599609375
1654083313.9527273,249,-10247.6591796875
1654083314.2063248,549,-10217.5263671875
1654083314.361039,749,-10233.4560546875
1654083314.4106567,799,-10382.91015625
1654083314.5558188,949,-10351.0732421875
1654083314.698175,999,-10205.154296875
1654083314.8468392,1049,-10142.9462890625
1654083315.1810074,1149,-9811.841796875
1654083315.3375988,1199,-10144.490234375
1654083315.7819872,1349,-9968.787109375
1654083315.9200628,1399,-9866.5205078125
1654083317.7239542,1949,-9407.173828125
1654083318.0105245,2049,-9532.8203125
1654083319.0457354,2399,-10172.41015625
1654083319.2186706,2449,-10116.2744140625
1654083319.3589635,2499,-10049.8828125
1654083319.6657586,2599,-9555.1845703125
1654083320.1222978,2749,-9466.3330078125
1654083320.591403,2899,-9269.5166015625
1654083321.084001,3049,-10082.8056640625
1654083321.2372017,3099,-10166.6865234375
1654083321.4026268,3149,-9966.1015625
1654083321.5386498,3199,-9806.412109375
1654083321.8433547,3299,-10215.3505859375
1654083321.9879315,3349,-9998.1162109375
1654083322.1341965,3399,-9024.091796875
1654083322.2930079,3449,-10173.56640625
1654083322.5999494,3549,-10315.0458984375
1654083322.7511554,3599,-9590.3212890625
1654083323.8871915,3899,-9905.3515625
1654083324.2034597,3999,-10126.0224609375
1654083324.6550605,4149,-9667.087890625
1654083325.1200593,4299,-9910.0458984375
1654083325.7259235,4499,-9982.5732421875
1654083327.1876674,4999,-9562.3349609375
1654083327.773081,5199,-10375.845703125
1654083328.2422352,5349,-9962.556640625
1654083328.3989382,5399,-9884.3798828125
1654083328.7031019,5499,-10108.2060546875
1654083329.7301133,5849,-10000.953125
1654083330.5075111,6099,-9842.87890625
1654083331.1227589,6299,-10344.3349609375
1654083331.2652597,6349,-9783.8173828125
1654083331.6707382,6449,-9695.3583984375
1654083331.9894497,6549,-10172.078125
1654083332.9460218,6849,-10201.650390625
1654083333.0925486,6899,-9671.5439453125
1654083334.211561,7249,-9675.06640625
1654083334.5596902,7349,-9460.830078125
1654083334.7170198,7399,-10116.7685546875
1654083335.1705852,7549,-10330.9130859375
1654083336.1828413,7899,-9445.3759765625
